LCFH	group_1617
Y003	group_605
Y028	group_1622
RLPA	group_610
Y040	group_4108
Y043	group_1626
Y045	group_429
Y048	group_854
Y056	group_1178
MNTA	group_1632
HEPT	group_333
Y077	group_1633
Y080	group_2174
Y083	group_1635
METB	group_1184
PLPHP	group_334
Y094	group_1636
Y100	group_233
GCH1L	group_1191
Y109	group_625
TDHA	group_47
Y120	group_4151
Y134	group_178
OPP21	group_1646
Y149	group_179
YCED	group_1199
Y162	group_866
BOLA	group_867
Y173	group_629
SFGH	group_240
Y195A	group_2008
Y198	group_632
Y205	group_875
5NTD	group_1658
T1SI	group_2179
Y217	group_2180
Y1651	group_876
Y223	group_878
NLPI	group_1210
Y233	group_1663
YAJC	group_1214
Y242	group_1664
Y243	group_636
Y246	group_880
TONB	group_881
BAMCH	group_1218
IXTPA	group_642
Y275	group_643
Y4180	group_4059
Y277	group_883
Y279	group_93
Y291	group_647
RHO	group_3954
LEP4	group_886
Y304	group_1677
Y310	group_1678
Y4390	group_3920
Y318	group_1227
Y325	group_1681
Y326	group_185
OAPA	group_337
OAPB	group_446
Y341	group_1229
NAPD	group_450
Y350	group_1230
Y352	group_7
Y357	group_892
HPF	group_3986
Y366	group_455
YFGM	group_1236
ISCX	group_896
Y374	group_1237
Y380	group_897
TOLQ	group_1238
Y396	group_1243
Y400	group_457
OPP11	group_2187
Y414	group_2188
Y420	group_1698
Y424	group_126
Y431	group_662
COMF	group_341
COMD	group_905
COMC	group_1704
COMB	group_2189
COMA	group_462
Y442	group_3942
Y449	group_907
Y451	group_1706
Y453	group_1707
MLTG	group_190
Y461	group_1252
Y467	group_1710
Y485A	group_1713
Y487	group_664
ORDL	group_666
Y455	group_3930
TEHA	group_668
MTHD	group_2197
Y521	group_4142
Y522	group_919
RN26	group_670
Y527	group_1721
Y552	group_1725
Y554	group_922
Y555	group_1726
Y557	group_192
Y559A	group_470
Y561	group_1269
PRX5	group_2202
FKBY	group_1728
Y575	group_1270
CPDB	group_345
ABGA	group_928
Y586	group_677
Y588	group_1730
Y589	group_1274
SPEFL	group_1732
Y594	group_1094
